date,item,exp,type,integrated_category
2024-04-09,SDN,못난 내 종목 갈 때는 한방에 가는 상황이 왔으면 좋겠다,효자종목,17
2024-04-09,대한광통신,우리에게 좋은 소식을 전해주지 않을까 ,효자종목,4_a
2024-04-09,모바일어플라이언스,고가놀이 겸 도지를 만들고 있어서 우리한테 앞으로 계속 좋은 소식을 전해줄 것 같다,사위일체,4_a
2024-04-09,애머릿지,이종목도 곧 활발하게 움직일 가능성이 많다,사위일체,3_b
2024-04-09,씨유테크,아름다운 조정이 아닐까,사위일체,18
2024-04-08,대성에너지,첩첩산중,저점장대양봉,100
2024-04-08,휴마시스,장이 좋아지면 2200원 이상으로 갈 가능성이 있다,저점장대양봉,3_a
2024-04-08,제룡산업,다중봉 다중턱,저점장대양봉,100
2024-04-08,미래생명자원,눌렸다가 다시 반등을 하고 있다,저점장대양봉,12_b
2024-04-08,SKC,무거운 종목,저점장대양봉,100
2024-04-08,휴니드,슬금슬금 올라오고 있다,저점장대양봉,11_c
2024-04-08,동방,다시 반등을 하고 있다,저점장대양봉,12_b
2024-04-08,한국석유,다중봉 다중턱,저점장대양봉,100
2024-04-08,에스바이오메딕스,16000원 넘으면 앞폭탄,저점장대양봉,31
2024-04-08,에스씨엔지니어링,완전히 판바닥 수준,저점장대양봉,21
2024-04-08,슈어소프트테크,조금 더 기다려봐야하는게 안전하다,저점장대양봉,100
2024-04-08,레이저쎌,조금 더 기다리는게 안전,저점장대양봉,100
2024-04-08,화천기계,내려올때까지 기다리자,저점장대양봉,100
2024-04-08,대한해운,다시 바닥에서 대량거래량이 일어나면서 움직이고 있는데 좀 지나면 2200원 이상 움직일듯,저점장대양봉,1_b
2024-04-08,케이사인,우리한테 살 기회를 주지 않나,저점장대양봉,19
2024-04-08,씨엔알리서치,다시 갈 가능성이 많다,저점장대양봉,3_b
2024-04-08,대영포장,내려올때까지 기다리는게 좋을 것 같다,저점장대양봉,100
2024-04-08,HB테크놀로지,내려올때까지 기다리자,저점장대양봉,100
2024-04-08,아이씨디,조금 애정을 보여야되지 않나,효자종목,100
2024-04-08,씨엔알리서치,계속해서 먹또먹을 선사할 것 같다,효자종목,9
2024-04-08,엘컴텍,계속 강한 모습을 보여준다,효자종목,7
2024-04-08,디티앤씨,우리한테 희망을 주고 있다,효자종목,100
2024-04-08,라이콤,상장폐지는 넘긴듯,효자종목,100
2024-04-08,하이트론,슬슬슬 다시 움직일듯,효자종목,11_c
2024-04-08,피델릭스,갈 가능성이 있는듯,효자종목,3_a
2024-04-08,세명전기,턴어라운드,효자종목,10_b
2024-04-08,KCC건설,간 김에 확 가면 좋을듯,효자종목,14
2024-04-05,현대힘스,일종의 고가놀이,저점장대양봉,8
2024-04-05,네이처셀,테마성이 강한 종목,저점장대양봉,100
2024-04-05,인산가,바닥수준,저점장대양봉,21
2024-04-05,한화오션,어중간한 상태,저점장대양봉,100
2024-04-05,두산에너빌리티,어중간,저점장대양봉,100
2024-04-05,SKC,올라가면 첩첩산중,저점장대양봉,100
2024-04-05,금양그린파워,다른 종목 좋은 거 많다,저점장대양봉,100
2024-04-05,에스피소프트,어중간,저점장대양봉,100
2024-04-05,파두,신규상장주라는 거 말고는 움직임이 괜찮다,저점장대양봉,26_a
2024-04-05,LS머트리얼즈,기다림 필요,저점장대양봉,100
2024-04-05,우진엔텍,조심하자,저점장대양봉,100
2024-04-05,HB솔루션,긴꼬리를 달고 내려오고 있다,저점장대양봉,22
2024-04-05,이구산업,5500원 ~ 6천원 넘어가면 다중봉 다중턱,저점장대양봉,31
2024-04-05,대원전선,상한가를 노리고 있다,저점장대양봉,16
2024-04-05,HB테크놀러지,조심하자,저점장대양봉,100
2024-04-05,중앙에너비스,무너지면 좋을 것 같은 상황,저점장대양봉,15_b
2024-04-05,스튜디오미르,무너질 것 같진 않다,저점장대양봉,7
2024-04-05,삼일씨엔에스,먹또먹을 추가로 할 채비를 차리고 있다,효자종목,9
2024-04-05,와이엠티,좋은 결과를 보였다,효자종목,25
2024-04-05,나래나노텍,저점을 계속 높여가고 있다,효자종목,10_a
2024-04-05,필옵틱스,이제는 빠이빠이다,효자종목,100
2024-04-05,HB테크놀러지,너무 간게 문제다,효자종목,100
2024-04-05,대원전선,도지를 만들고 있다,효자종목,8
2024-04-05,램테크놀러지,더 떨어지더라도 분할매수로 대응하면 좋을 것 같다,효자종목,21
2024-04-05,대한전선,도지를 만들려고 굉장히 애쓰고 있다,효자종목,8
2024-04-05,바이오스마트,걱정할바가 아니다,효자종목,6_b
2024-04-05,광명전기,이또한 싸게 살 수 있는 기회를 주지 않나,효자종목,19
2024-04-05,엠젠솔루션,계속해서 먹또먹을 우리한테 주고 있다,효자종목,9
2024-04-05,서전기전,바닥에서 돌고 있다,효자종목,10_a
2024-04-05,토마토시스템,한두번 우리한테 기회를 줄 가능성이 많다,효자종목,3_b
2024-04-05,KBI메탈,1600원 넘어서 그 위로 올라갈 가능성이 많아 보인다,효자종목,3_b
2024-04-05,비아트론,저점도지를 만들고 있다,효자종목,8
2024-04-05,피델릭스,2천원을 한번 터치하지 않을까,효자종목,1_b
2024-04-04,대덕전자,무거운,저점장대양봉,100
2024-04-04,상신전자,다시 가길,저점장대양봉,14
2024-04-04,롯데관광개발,다시 가야하는데 동작이 느리다,저점장대양봉,100
2024-04-04,큐라클,다중봉다중턱,저점장대양봉,100
2024-04-04,에프엔에스테크,만사천원 넘으면 첩첩산중,저점장대양봉,31
2024-04-04,테스,월봉을 보면 첩첩산중,저점장대양봉,100
2024-04-04,SKC,첩첩산중,저점장대양봉,100
2024-04-04,아이씨디,좋은 결과 기대,저점장대양봉,4_a
2024-04-04,한화,"무거운 종목, 적절치않다",저점장대양봉,100
2024-04-04,솔루스첨단소재,이만원 넘어가면 다중봉 다중턱,저점장대양봉,31
2024-04-04,와이아이케이,첩첩산중,저점장대양봉,100
2024-04-04,더존비즈온,첩첩산중,저점장대양봉,100
2024-04-04,퓨릿,신규상장주인데 어중간,저점장대양봉,26_z
2024-04-04,삼성엔지니어링,너무 무겁다,저점장대양봉,100
2024-04-04,SFA반도체,지지가 무너지면 오천원까지,저점장대양봉,100
2024-04-04,팸텍,떨어질때까지 기다리는게 어떤가,저점장대양봉,100
2024-04-04,지투파워,지지가 무너지면 4천원까지 갈수도,저점장대양봉,100
2024-04-04,뉴파워프라즈마,한두번 더 기회,저점장대양봉,1_a
2024-04-04,피델릭스,기운차려서 또가고 있다,저점장대양봉,12_b
2024-04-04,시그네틱스,다중봉 다중턱,저점장대양봉,100
2024-04-04,엘컴텍,"피델릭스와 비슷하다, 딩동돌파법을 사용해야되지 않나",저점장대양봉,27
2024-04-04,3S,이것도 딩동돌파법을 사용해야되지 않나,저점장대양봉,27
2024-04-04,씨엔알리서치,다시 갈 것 같고,저점장대양봉,1_c
2024-04-04,엠젠솔루션,조금 무너지면 얼마나 좋을까,저점장대양봉,15_b
2024-04-04,램테크놀러지,무너지면 얼마나 좋을까,저점장대양봉,15_b
2024-04-04,덕우전자,우리한테 먹또먹을 계속 선사할 것 같은,효자종목,9
2024-04-04,뉴파워프라즈마,한두번은 기회를 주지 않을까,효자종목,1_a
2024-04-04,진양화학,털 수 있지 않을까,효자종목,1_c
2024-04-04,와이엠티,조금 오늘은 힘이 부치지 않았나,효자종목,100
2024-04-04,디와이디,쭉쭉 가길 바란다,효자종목,15_a
2024-04-04,상신전자,곧 5500원을 넘어서 6천원을 향해 가지 않을까,효자종목,2_z
2024-04-04,HB테크놀러지,이제는 좀 조심해야할 필요 있음,효자종목,100
2024-04-04,네오티스,우리한테 좋은 소식을 자주 전해줄 것 같다,효자종목,4_a
2024-04-04,진원생명과학,정신을 차릴 필요가 있다,효자종목,24
2024-04-04,대원전선,좋은 소식을 자주 전해줄 것 같다,효자종목,4_a
2024-04-04,라이트론,3000~3500원 돌파하지 않을까,효자종목,2_b
2024-04-04,세화피앤씨,완전히 털지 못한 그런 상황,효자종목,1_c
2024-04-04,비케이홀딩스,다시 올라오고 있다,효자종목,12_b
2024-04-04,이구산업,이제는 조금 조심해야되지 않나,효자종목,100
2024-04-04,서플러스글로벌,잘 활용해야겠다,효자종목,9
2024-04-04,램테크놀러지,상한가 기록,효자종목,16
2024-04-04,협진,먹또먹을 계속 선사할 듯,효자종목,9
2024-04-04,바이오스마트,가까워지지 않나,효자종목,2_z
2024-04-04,SDN,반등을 하고 있다,효자종목,12_b
2024-04-04,포인트엔지니어링,슬금슬금 올라오고 있다,효자종목,11_c
2024-04-04,씨엔알리서치,세력이 강하게 컨트럴하고 있지 않나 ,효자종목,8
2024-04-03,광무,3천원 밑으로 빠지는 걸 기다리는게 좋을듯,저점장대양봉,100
2024-04-03,한싹,일종의 고가놀이,저점장대양봉,8
2024-04-03,파두,갭상승 장대양봉,저점장대양봉,100
2024-04-03,필에너지,조심 필요,저점장대양봉,100
2024-04-03,대성에너지,저점도지를 만들고 있다,저점장대양봉,8
2024-04-03,유비케어,바닥에서 다시 도는 거,저점장대양봉,10_a
2024-04-03,삼성엔지니어링,무거운 종목,저점장대양봉,100
2024-04-03,삼성중공업,조심하자,저점장대양봉,100
2024-04-03,지엔씨에너지,한번은 역사적 신고가를 쓸 것 같지만 우리는 조심하는게 좋을듯,저점장대양봉,100
2024-04-03,신화콘텍,아까말합,저점장대양봉,100
2024-04-03,모니터랩,신규상장주라는 거 말고 움직임이 좋다,저점장대양봉,26_a
2024-04-03,HB테크놀러지,다중봉 다중턱,저점장대양봉,100
2024-04-03,영우디에스피,상장폐지는 면한듯,저점장대양봉,100
2024-04-03,세화피앤씨,상한가가 무너지면 얼마나 좋을까,저점장대양봉,15_b
2024-04-03,피씨디렉트,한번은 크게 터질때가 되지 않았나,효자종목,2_z
2024-04-03,신화콘텍,우리한테 싸게 살 기회를 또 주는 거 아닌가,효자종목,19
2024-04-03,동방,거래량이 붙으면서 돌고 있다,효자종목,10_a
2024-04-03,탑엔지니어링,비슷한 움직임 동방이랑,효자종목,100
2024-04-03,에스넷,"이종목도 월봉을 보면 4천원이 판바닥이다, 계속 우리한테 먹또먹을 선사할 것 같다",효자종목,9
2024-04-03,HB테크놀러지,다중봉 다중턱,효자종목,100
2024-04-03,씨엔알리서치,저점긴꼬리로 볼 수 밖에 없다,효자종목,22
2024-04-03,토마토시스템,우리한테 좋은 먹또먹 선사,효자종목,9
2024-04-03,지에스이,월봉이 높은게 흠이다,효자종목,100
2024-04-03,뉴파워프라즈마,어제 엄청난 거래량 발생 ,효자종목,7
2024-04-02,세진중공업,비실비실,저점장대양봉,100
2024-04-02,디아이씨,다중봉 다중턱,저점장대양봉,100
2024-04-02,삼화전자,다중봉 다중턱,저점장대양봉,100
2024-04-02,마이크로투나노,"신규상장주, 괜찮아 보인다",저점장대양봉,26_a
2024-04-02,한화시스템,첩첩산중,저점장대양봉,100
2024-04-02,미래산업,어중간하게 걸려있다,저점장대양봉,100
2024-04-02,샘씨엔에스,내려오는 와중일수도,저점장대양봉,100
2024-04-02,링크제니시스,얼마 올라가지도 않음,저점장대양봉,1_c
2024-04-02,대명에너지,긴꼬리,저점장대양봉,22
2024-04-02,유니온,도는 상황,저점장대양봉,10_a
2024-04-02,티엘비,삼만원 넘어가면 다중봉 다중턱,저점장대양봉,100
2024-04-02,나인테크,"바닥에서 기고 있다, 잘 봐야한다",저점장대양봉,24
2024-04-02,삼화페인트,뒷폭탄일수도,저점장대양봉,100
2024-04-02,프럼파스트,언제다시 가느냐가 문제,저점장대양봉,6_c
2024-04-02,삼성전자우,정말 다행,저점장대양봉,25
2024-04-02,피델릭스,돌파 시도할 듯,저점장대양봉,2_b
2024-04-02,현대힘스,한번은 이만원을 강하게 돌파하지 않을까,저점장대양봉,2_c
2024-04-02,솔루스첨단소재,세력의 평단가가 많이 높아진 상황,저점장대양봉,5
2024-04-02,코어라인소프트,향후 움직임을 좀 더 지켜봐야하지 않나,저점장대양봉,100
2024-04-02,리더스코스메틱,갭상승 장대음봉을 만들면서 세력의 평단가가 높아지는 상황 발생,저점장대양봉,5
2024-04-02,현대로템,진검승부,저점장대양봉,100
2024-04-02,한싹,도지 만들려고 그러고 있다,저점장대양봉,8
2024-04-02,HB솔루션,이제는 조심하자,저점장대양봉,100
2024-04-02,SFA반도체,지지가 무너지면 4천원까지 갈 수 있다,저점장대양봉,100
2024-04-02,HB테크놀러지,다중봉 다중턱,저점장대양봉,100
2024-04-02,파두,유의 깊게 봐야함,저점장대양봉,24
2024-04-02,모니터랩,마찬가지 유의깊게,저점장대양봉,24
2024-04-02,삼성중공업,조심하자,저점장대양봉,100
2024-04-02,엘컴텍,또다시 올라간다,저점장대양봉,12_b
2024-04-02,데이타솔루션,한번은 구천원 돌파할듯,저점장대양봉,2_a
2024-04-02,금양그린파워,한두번은 기회가 있지 않나,저점장대양봉,1_a
2024-04-02,윈팩,1500원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-02,경창산업,9만원 빨리 넘었으면 좋을듯,저점장대양봉,14
2024-04-02,SK디앤디,다중봉 다중턱,저점장대양봉,100
2024-04-02,강스템바이오텍,한두번 기회가 있을듯,저점장대양봉,1_a
2024-04-02,KR모터스,앞과 위가 흉흉한 종목 아닌가 ,저점장대양봉,100
2024-04-02,씨엔알리서치,무너지길 바란다,효자종목,15_b
2024-04-02,상신전자,다시 움직이기 시작했으니까 멀지 않아 원매수를 털 수 있다,효자종목,2_z
2024-04-02,미래산업,원매수를 정리하는 가격까지 갔다,효자종목,25
2024-04-02,경창산업,조정을 받으면 얼마나 좋을까,효자종목,14
2024-04-02,KX하이텍,한두번은 우리한테 기회를 줄 것 같다,효자종목,1_a
2024-04-02,유니온커뮤니티,슬금슬금,효자종목,11_c
2024-04-02,웰바이오텍,아픈손가락,효자종목,30
2024-04-02,모아데이타,"저점긴꼬리, 계속 두세번의 먹을 기회를 주지 않을까",효자종목,1_d
2024-04-02,모니터랩,세력의 평단가가 높아졌다,효자종목,5
2024-04-02,비케이홀딩스,한번 슈팅이 나와서 상한가갔으면 좋겠다,효자종목,14
2024-04-02,예선테크,5프로 하락하고 있다,효자종목,100
2024-04-02,지에스이,다시 반등을 노리고 있다,효자종목,12_a
2024-04-02,코리아나,살 기회를 우리한테 주지 않나,사위일체,19
2024-04-02,오픈베이스,슈팅이 나올때가 점점 가까워지지 않나,사위일체,1_z
2024-04-02,한국화장품,싸게 살 수 있는 기회를 주지 않나,사위일체,19
2024-04-01,SK오션플랜트,600일 일봉으로만 보면 아주 바닥권인듯,저점장대양봉,16
2024-04-01,하이트론,지금 다시 반등을 하고 있다,저점장대양봉,12_b
2024-04-01,씨에스윈드,6만원 넘어봐야 첩첩산중,저점장대양봉,100
2024-04-01,컨텍,22000원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-01,에스바이오메딕스,조심해야한다,저점장대양봉,100
2024-04-01,미스터블루,삼천원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-01,한국화장품,주목할 필요가 있다,저점장대양봉,24
2024-04-01,인성정보,내려오는듯,저점장대양봉,100
2024-04-01,링네트,8천원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-01,한화시스템,다시 올라가지만 첩첩산중,저점장대양봉,100
2024-04-01,샌즈랩,조심하자,저점장대양봉,100
2024-04-01,현대로템,별로 올라간게 없다,저점장대양봉,100
2024-04-01,윈팩,1500원만 되면 꼬리를 달고 내려온다,저점장대양봉,100
2024-04-01,지엔씨에너지,역사적신고가와 싸워야한다,저점장대양봉,100
2024-04-01,대덕전자,올라오고 있다,저점장대양봉,12_b
2024-04-01,LS머트리얼즈,반등을 하고 있는데 더 지켜봐야한다,저점장대양봉,24
2024-04-01,시그네틱스,2천원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-01,리더스코스메틱,지금 상한가를 기록하는 중,저점장대양봉,16
2024-04-01,유일에너테크,우리의 아픈 손가락,효자종목,30
2024-04-01,피델릭스,1900원 돌파를 모색하지 않을까,효자종목,2_b
2024-04-01,상신브레이크,못난 내종목 갈때는 한방에 간다,효자종목,17
2024-04-01,티피씨글로벌,다시 3750원을 향해서 갈 가능성이 많다,효자종목,3_b
2024-04-01,롯데관광개발,꼬리를 달고 내려오고 있다,효자종목,100
2024-04-01,에스넷,"차근차근 올라가고 있다, 6500원 수준까지 무난하게 도달하지 않을까",효자종목,1_b
2024-04-01,유니온커뮤니티,움직일 가능성이 많다,효자종목,3_b
2024-04-01,엘컴텍,한번은 강하게 돌파할 듯,효자종목,2_c
2024-04-01,데이타솔루션,시원하게 횡폭이 일어났다,효자종목,23
2024-04-01,우리산업홀딩스,오늘 도지를 만들고 있다,효자종목,8
2024-04-01,웰바이오텍,상장폐지를 면했는지 상한가에 돌입했다,효자종목,16
2024-04-01,동국S&C,4천원 그 이상을 가기를 바란다,효자종목,14
2024-04-01,코리아나,반갑다,효자종목,25
2024-04-01,경남제약,좋은 움직임,효자종목,10_a
2024-04-01,앱코,좋은 움직임을 보여준다,효자종목,10_a
2024-04-01,금양그린파워,신규상장주라는 거 말고 움직임이 괜찮다 ,효자종목,26_a
2024-04-01,우리산업,애쓰고 있다,사위일체,7
2024-04-01,대한전선,계속 사랑을 줘야겠다,사위일체,1_d
2024-04-01,휴마시스,곧 삼천원으로 갈 가능성이 많은듯,사위일체,3_b
2024-03-29,한화갤러리아,기다리는게 순리다,저점장대양봉,100
2024-03-29,이구산업,다중봉 다중턱,저점장대양봉,100
2024-03-29,우리산업홀딩스,미리도는 감이 있다,저점장대양봉,100
2024-03-29,아미코젠,딩동 돌파법을 사용하는게 좋지 않을까,저점장대양봉,24
2024-03-29,포바이포,떨어질때까지 기다리는게 좋을듯,저점장대양봉,100
2024-03-29,대성창투,일부러 찾아서 들어갈 필요는없을듯,저점장대양봉,16
2024-03-29,미코,다중봉 다중턱,저점장대양봉,100
2024-03-29,디아이씨,다중봉 다중턱,저점장대양봉,100
2024-03-29,크린앤사이언스,굉장히 개미주,저점장대양봉,100
2024-03-29,국제약품,결국은 꺾였다,저점장대양봉,100
2024-03-29,퀄리타스반도체,어중간하가들어간건 안들어간다,저점장대양봉,100
2024-03-29,링네트,다중봉 다중턱,저점장대양봉,100
2024-03-29,미래생명자원,조정받고 있다,저점장대양봉,18
2024-03-29,웰컴텍,가능성이 많다,저점장대양봉,3_b
2024-03-29,엔젤로보틱스,조심하자,저점장대양봉,100
2024-03-29,아센디오,너무 변동이 심함,저점장대양봉,100
2024-03-29,삼성전자우,칠만원 팔만원갔으면,저점장대양봉,14
2024-03-29,삼성전자,9만원 이상 가길 ,저점장대양봉,14
2024-03-29,제룡산업,계속해서 먹또먹을 선사하지 않을까,효자종목,9
2024-03-29,와이투솔루션,원매수를 털 수 있는 기회를 줬다,효자종목,25
2024-03-29,티움바이오,원바닥까지 떨어져서 돌고 있는 상황,효자종목,10_a
2024-03-29,휴마시스,계속 이천원 위에서 횡보를 하고 있기에 곧 3천원을 향해서 갈 가능성이 굉장히 많은듯,효자종목,3_b
2024-03-29,리튬포어스,만원 수준으로 갈 수 밖에 없다,효자종목,6_a
2024-03-29,유라테크,"못난 내 종목 갈때는 한번에 간다, 두세번 정도는 우리한테 기회를 주면 얼마나 좋을까",효자종목,17
2024-03-29,웰크론,싸게 살 수 있는 기회를 주는 것 같다,효자종목,19
2024-03-29,피씨디렉트,아름다운조정인듯,효자종목,18
2024-03-29,한탑,너무 우리의 마음을 조마조마하게 하는듯,효자종목,100
2024-03-29,세종메디칼,3월은 빨리 지나가야되지 않나,효자종목,100
2024-03-29,케이엠,또 우리한테 기회를 주는 듯,효자종목,1_z
2024-03-29,대한전선,이제는 바닥에서 딛고 돌 채비를 채리고 있다,효자종목,12_a
2024-03-29,솔트웨어,또 기회를 주는듯,효자종목,1_z
2024-03-29,이엔플러스,살짝 좋은 움직임을 보여주고 있다,사위일체,10_a
2024-03-29,동구바이오제약,8천원 수준으로 가지 않을까,사위일체,1_b
2024-03-29,서울반도체,많이 떨어졌다 ,사위일체,30
2024-03-28,DXVX,거래량이 붙으면서 올라오는,저점장대양봉,7
2024-03-28,HLB파나진,별로 좋은 일이 없을 것 같다,저점장대양봉,100
2024-03-28,쎼트렉아이,첩첩산중이 기다리고 있다 ,저점장대양봉,100
2024-03-28,HLB글로벌,조심 필요,저점장대양봉,100
2024-03-28,미코,월봉을 보면 상당히 높은 수준,저점장대양봉,100
2024-03-28,HD현대인프라코어,9천원 넘으면 첩첩산중,저점장대양봉,31
2024-03-28,컨텍,2만원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-03-28,AP위성,만팔천원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-03-28,대명에너지,재돌파하면서 올라왔다,저점장대양봉,27
2024-03-28,동방,살짝 숨고르기 중,저점장대양봉,18
2024-03-28,에스에너지,갈수밖에 없는,저점장대양봉,6_a
2024-03-28,피델릭스,갈수밖에 없는,저점장대양봉,6_a
2024-03-28,한화솔루션,조심하자,저점장대양봉,100
2024-03-28,대주산업,추세가 상승전환이 될 가능성이 있다,저점장대양봉,3_a
2024-03-28,영보화학,4천원 넘으면 꼬리를 달고 내려간다 ,저점장대양봉,100
2024-03-28,엘컴텍,만오천원 돌파를 시도 하지 않을까,저점장대양봉,2_b
2024-03-28,솔루스첨단소재,혹시 물리더라도 다시 물살종으로,저점장대양봉,21
2024-03-28,미래산업,이제는 돌 가능성이 있다 ,저점장대양봉,3_a
2023-03-28,에이엔피,싸게 살 수 있는 기회를 준다,효자종목,19
2023-03-28,프럼파스트,세력의 평단가가 높아졌다,효자종목,5
2023-03-28,에스에너지,계속 갈 가능성이 많다,효자종목,3_b
2023-03-28,유니슨,아픈 손가락,효자종목,30
2023-03-28,유라테크,"갭상승 장대음봉을 만들고 있다, 세력의 평단가가 살짝 높아졌지 않았나",효자종목,5
2023-03-28,솔트웨어,이또한 계속해서 1800원을 가지 않을까,효자종목,1_b
2023-03-28,지엔씨에너지,이제는 조심해야한다,효자종목,100
2023-03-28,이엔플러스,도는 모습이 확연하다,효자종목,10_a
2023-03-28,솔루스첨단소재,두려워할 필요가 없다,효자종목,6_b
2023-03-28,SDN,물리신분들이 많다,효자종목,100
2023-03-28,케이엠더블유,살금살금 올라오고 있다,효자종목,11_c
2023-03-28,일진디스플,물린것들 다 털 수 있는 기회를 준 거 아닌가,효자종목,25
2023-03-28,성호전자,이제는 조금 조심해야되지 않나,효자종목,100
2023-03-28,차백신연구소,강한 판바닥을 만드는 듯,효자종목,21
2023-03-28,피씨디렉트,저점에서의 긴꼬리,효자종목,22
2023-03-28,브릿지바이오테라퓨틱스,점점 올라오는 수순을 밟고 있다,효자종목,11_c
2023-03-28,코닉오토메이션,당연히 더 갈 수 밖에 없는 상황 ,효자종목,1_c
2024-03-28,프롬바이오,상장폐지만 면하면 앞으로 먹거리를 우리한톄 계속 줄 것 같다,사위일체,1_d
2024-03-28,네이처셀,안타깝다,사위일체,100
2024-03-28,리튬포어스,문제아가 효자가 됐다,사위일체,28
2024-03-27,포인트엔지니어링,2천원으로 슬슬 움직일듯,저점장대양봉,11_b
2024-03-27,한국가구,무너지면 2천원까지 가지 않을까,저점장대양봉,100
2024-03-27,글로벌텍스프리,어중간,저점장대양봉,100
2024-03-27,필에너지,조심해야되는 상황,저점장대양봉,100
2024-03-27,케이엠더블유,2천원 돌파를 하지 않을까,저점장대양봉,2_b
2024-03-27,엠아이텍,많이 내려왔다,저점장대양봉,30
2024-03-27,위메이드,엄청난 저항,저점장대양봉,100
2024-03-27,현대로템,첩첩산중,저점장대양봉,100
2024-03-27,이노룰스,그나마 좋아보이는,저점장대양봉,100
2024-03-27,HD현대인프라코어,9천원 넘어봐야 첩첩산중,저점장대양봉,100
2024-03-27,광무,중턱에 걸려서 안들어간다,저점장대양봉,100
2024-03-27,롯데관광개발,턴어라운드 모색,저점장대양봉,12_a
2024-03-27,디아이씨,5500원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-03-27,에스피소프트,"신규상장주, 조심하자",저점장대양봉,26_z
2024-03-27,하이드로리튬,조심하자,저점장대양봉,100
2024-03-27,네이처셀,테마주의 대명사,저점장대양봉,100
2024-03-27,하인크코리아,조심하자,저점장대양봉,100
2024-03-27,샌즈랩,다중봉 다중턱,저점장대양봉,100
2024-03-27,아센디오,항상 조심,저점장대양봉,100
2024-03-27,솔루스첨단소재,"한번 무너지면 얼마나 좋을까, 끝까지 지켜볼 필요가 있다 ",저점장대양봉,15_b
2024-03-27,솔루스첨단소재1우,"한번 무너지면 얼마나 좋을까, 끝까지 지켜볼 필요가 있다 ",저점장대양봉,15_b
2024-03-27,솔루스첨단소재2우B,"한번 무너지면 얼마나 좋을까, 끝까지 지켜볼 필요가 있다 ",저점장대양봉,15_b
2024-03-27,키이스트,이제는 돌아야한다,효자종목,6_a
2024-03-27,프럼파스트,갭상승 장대음봉이 나왔다,효자종목,100
2024-03-27,유라테크,저점긴꼬리로 봐야되지 않나,효자종목,22
2024-03-27,대주산업,돌파를 시도 하지 않을까,효자종목,2_b
2024-03-27,코닉오토메이션,좋은 모습을 보이고 있다,효자종목,10_a
2024-03-27,유일에너테크,2만원 그 이상으로 갈 확률이 굉장히 높아졌다,효자종목,3_b
2024-03-27,리튬포어스,여러번 먹또먹하신 분들이 상당히 많을듯,효자종목,9
2024-03-27,레몬,상장폐지로 가는 줄 알았는데 살아났다,효자종목,100
2024-03-27,가온그룹,계속해서 효자노릇을 하고있다,효자종목,28
2024-03-27,SM C&C,우리한테 여러번 좋은 소식을 전해줄수도,효자종목,4_a
